model_family,backend,feature_set,feature_count,target_mode,rmse_mean,mae_mean,rank_ic_mean,top5_mean_return_mean,rmse_std,mae_std,rank_ic_std,top5_mean_return_std,profile_name,prediction_source,weighting_scheme,sort_strategy,top_k,enable_risk_filters,allow_cash_fallback,max_volatility_20d_pct,max_volatility_5d_pct,turnover_rate_lower_pct,turnover_rate_upper_pct,turnover_ratio_upper_pct,risk_penalty_weight,transaction_cost,max_turnover,rerank_signal_column,rerank_signal_weight,secondary_candidate_size,secondary_screen_mode,secondary_screen_weight,local_tiebreak_start_rank,local_tiebreak_end_rank,periods,cumulative_return_before_cost,cumulative_return_after_cost,mean_period_return_before_cost,mean_period_return_after_cost,return_volatility_before_cost,return_volatility_after_cost,max_drawdown_before_cost,max_drawdown_after_cost,sharpe_before_cost,sharpe_after_cost,win_rate_before_cost,win_rate_after_cost,avg_selected_count,avg_signal_count,avg_cash_weight,avg_turnover,avg_desired_turnover,avg_execution_strength,total_transaction_cost
lightgbm,lightgbm,base_alpha_v3_rs_crowding_mini4,20,cross_section_rank,0.5003076271344841,0.49747023811721885,-0.02741681549842336,0.002183228707590447,0.0033614604511350643,0.003677379936844982,0.027121194436668567,0.010090773527259763,model_lightgbm,walk_forward_lightgbm,pred,risk_adjusted,5,True,False,0.86,1.0,0.03,0.97,0.95,-0.3,0.001,1.0,,0.0,0,none,0.0,8,15,60,0.37558736889685984,0.2958393501197505,0.0055068329302108655,0.004506832930210083,0.018986725861183114,0.018986725861183083,-0.10861405502014931,-0.1131656514396776,2.091478924850464,1.7116818706529258,0.6333333333333333,0.55,5.0,5.0,1.3116026783184983e-12,1.0000000000007825,1.8536270183482921,0.5473968453388696,0.06000000000004696
xgboost,xgboost,base_alpha_v3_rs_crowding_mini4,20,cross_section_rank,0.5003792550445285,0.497547442146755,-0.030145156268928563,0.00034058754732758934,0.0036481959535966473,0.0038800962580013173,0.022224183782753714,0.010332978412061471,model_xgboost,walk_forward_xgboost,pred,risk_adjusted,5,True,False,0.86,1.0,0.03,0.97,0.95,-0.3,0.001,1.0,,0.0,0,none,0.0,8,15,60,0.20801395281308843,0.13783720952053558,0.003276418667322448,0.0022764186685633753,0.015696736107243328,0.015696736108264612,-0.09071354414527477,-0.09714635933365712,1.5051913243884094,1.0457899243916307,0.5666666666666667,0.5333333333333333,5.0,5.0,9.826512050355636e-09,0.9999999987590722,1.8398719215346566,0.5514137171002722,0.059999999925544334
