experiment,model_family,feature_set,sequence_length,feature_count,rank_ic_mean,fold_1_rank_ic,fold_2_rank_ic,fold_3_rank_ic,top5_mean_return_mean
lstm_sl20_current,lstm,base_alpha_v3_rs_crowding_mini4,20,20,0.02798208721102495,-0.033492236853097226,0.11894604612263202,-0.0015075476364599355,0.007502490371932375
lstm_sl30,lstm,base_alpha_v3_rs_crowding_mini4,30,20,-0.01757713746748803,-0.0336650953998058,0.0038745626718840256,-0.022940879674542322,0.0031051250133771664
lstm_drop_short_term_noise_sl20,lstm,base_alpha_v3_rs_crowding_mini4__drop_short_term_noise,20,17,0.007494594533293257,-0.011686160712993299,0.04998553068738334,-0.01581558637451027,0.013152447146730348
lstm_drop_crowding_disturbance_sl20,lstm,base_alpha_v3_rs_crowding_mini4__drop_crowding_disturbance,20,18,0.013380361827888917,-0.06268240313574347,0.08040092293026194,0.02242256568914829,0.014225703559805824
lightgbm_same_protocol,lightgbm,base_alpha_v3_rs_crowding_mini4,,20,-0.02741681549842336,-0.06571356496486407,-0.010100929983691921,-0.006435951546714089,0.002183228707590447
linear_same_protocol,linear_regression,base_alpha_v3_rs_crowding_mini4,,20,-0.028608321593443856,-0.01622395618403992,-0.07469705946630202,0.005096050870010378,0.0010383442680723769
