profile_name,fold_id,date,day_rank_ic,candidate_count,prediction_mean,prediction_std,target_mean,target_std,avg_volatility_20d,avg_volatility_5d,avg_turnover_rate,avg_turnover_ratio_10d,avg_amplitude_ratio_5d,selected_count,selected_pred_return_mean,selected_target_return_mean,selected_weighted_target_return,selected_volatility_20d_mean,selected_volatility_5d_mean,selected_turnover_rate_mean,filter_initial_candidates,filter_after_primary_screen,filter_after_risk_filters,filter_after_secondary_screen,filter_fallback_used
walk_forward_default,1,2025-11-26,-0.10591511862962646,300,0.5259081721305847,0.03520209342241287,0.00871248038623854,0.031059058737763434,0.01911507154056696,0.018701012800123654,1.1424560000000001,-0.09702693589271977,-0.12757548712361397,5,0.5760198831558228,0.00929721266981386,0.009310461853267034,0.014987654036890102,0.01256849269484378,1.13842,300,180,150,150,0
walk_forward_default,1,2025-11-27,-0.09600439116989709,300,0.531356692314148,0.03412351384758949,0.006520541589028746,0.035966486693302074,0.018761714780250502,0.0187267133033879,1.0946293333333335,-0.10221509459272082,-0.10279976250371897,5,0.5785928964614868,0.00290574584463096,0.002928350658810748,0.01693424811011886,0.01343691189994096,1.0090800000000002,300,180,151,151,0
walk_forward_default,1,2025-11-28,-0.02361996496873892,300,0.5257070660591125,0.03496861830353737,-0.0024013733862022447,0.033944920706592704,0.018009944409587524,0.013327795217730948,0.956631,-0.16405738453017676,-0.1222449036174351,5,0.572482705116272,-0.0089982449053877,-0.009129395203509477,0.01815655004526282,0.00976565358819728,1.2165199999999998,300,180,147,147,0
walk_forward_default,1,2025-12-01,-0.04506477301392021,300,0.5133730173110962,0.04147486388683319,0.00038376468407220283,0.038252830783501904,0.01834038186217192,0.013839782209492899,1.3700813333333335,0.16998198524121147,0.12580044530885143,5,0.5706029534339905,0.02230838502416672,0.0221218608135951,0.0234339274044348,0.0132979126881796,1.86034,300,180,153,153,0
walk_forward_default,1,2025-12-02,-0.003458751214226022,300,0.5175215601921082,0.039197541773319244,0.005661202111109214,0.03992151511444516,0.018100374163062437,0.014492318122117277,1.0516143333333332,-0.11185102750213266,-0.06256847749070583,5,0.5717736482620239,0.03620563300159384,0.036180934478770375,0.02381830941170442,0.014385254144954701,1.6057200000000003,300,180,151,151,0
walk_forward_default,1,2025-12-03,0.20662585876062353,300,0.5251257419586182,0.038969166576862335,0.0013027612796860308,0.04338956684538926,0.018080796727540205,0.0145874845342174,1.0333456666666665,-0.09348647969508539,0.058180799332410625,5,0.5860999822616577,0.026722329817078116,0.02689144252879723,0.024175461203906116,0.015931774611207438,1.5469000000000002,300,180,155,155,0
walk_forward_default,1,2025-12-04,-0.10958868492719595,300,0.5248773097991943,0.03944765031337738,0.00828145668724565,0.034708132070079,0.017528733269125296,0.01459138847816717,0.9536159999999999,-0.15933976437850308,-0.04315944584139579,5,0.5744711756706238,0.02768202820127364,0.027785177444764088,0.02176447440745686,0.01571352444687622,1.12724,300,180,152,152,0
walk_forward_default,1,2025-12-05,0.050298803452844876,300,0.5101590752601624,0.04266808182001114,-0.010352760226929434,0.030426012903726467,0.017632443961958996,0.015720058461574312,1.136266,0.05930147019919658,0.10098138877690864,5,0.5681069493293762,-0.00959227833560758,-0.009383116385540517,0.017024947270973843,0.01287524394716682,0.9246999999999999,300,180,160,160,0
walk_forward_default,1,2025-12-08,0.09314694788223313,300,0.5078993439674377,0.04377947002649307,-0.010410610970843498,0.030725295697685166,0.017131356302736607,0.014569927823218662,1.3106679999999997,0.18464006400761648,0.014389834697719817,5,0.5716034173965454,-0.0009212133772939793,-0.0006488946891897614,0.013118307462363737,0.011916707969565262,0.55218,300,180,162,162,0
walk_forward_default,1,2025-12-09,0.22866444552967757,300,0.5118383765220642,0.044369254261255264,-0.003435043734788855,0.03266527133140459,0.017293466318454756,0.015384440718267918,1.2065886666666665,0.08159133576899794,0.04719848155822513,5,0.5803974270820618,0.01174939507503898,0.011761244999138602,0.01173398757191656,0.0107453280822293,0.47450000000000003,300,180,165,165,0
walk_forward_default,1,2025-12-10,0.27249719857115023,300,0.5122830271720886,0.04434456303715706,-0.017189365285409042,0.03171994216929079,0.01732728939728113,0.015322414817281391,1.113572,0.003488237380900066,0.04914587071285898,5,0.5758150815963745,-0.0118419050116745,-0.011628609292607176,0.008898676031153241,0.0046961634180223795,1.06246,300,180,161,161,0
walk_forward_default,1,2025-12-11,-0.00473827697564552,300,0.5207663178443909,0.03586900606751442,0.003085779766843833,0.030402554949865674,0.01709527716632968,0.01653756970706329,1.1498650000000001,0.006446660323665321,-0.018292788530149668,5,0.5671012997627258,-0.01087422379496886,-0.010859051547101867,0.01747464265577528,0.01241272874716114,1.28546,300,180,167,167,0
walk_forward_default,1,2025-12-12,0.0077810479684307125,300,0.5090905427932739,0.03983191400766373,0.004651272005405372,0.03156637006334862,0.01707322427643059,0.016338855980298134,1.521232,0.32729893356472667,0.05856792372564807,5,0.5538519024848938,-0.01915829253989124,-0.019158150073477424,0.018158215765798742,0.01609302254594546,1.3005200000000001,300,180,160,160,0
walk_forward_default,1,2025-12-15,-0.08346511286837767,300,0.520451545715332,0.035300880670547485,0.011829457204146403,0.028073440898795383,0.017042288086081273,0.01646634507036446,1.1119556666666668,0.024838715852401154,0.017162847379197536,5,0.5773945450782776,0.0019700784829998997,0.0019049483088980908,0.01817999711625628,0.017431365869119524,1.1528399999999999,300,180,153,153,0
walk_forward_default,1,2025-12-16,-0.14589622762064988,300,0.5285435318946838,0.03470510244369507,0.024027699264438693,0.03400513898864527,0.017107301505233444,0.01569125873927123,1.06,-0.03901752293148546,0.02185250112620552,5,0.5788072943687439,0.03662429872380526,0.03674158650087495,0.020149878256249663,0.01746594898162862,1.0709600000000001,300,180,151,151,0
walk_forward_default,1,2025-12-17,-0.20454843439904485,300,0.5162925124168396,0.04195630922913551,0.010355534205921592,0.03175107683161553,0.017425952487658544,0.017906844628086418,1.2049869999999998,0.024401840260924602,0.11253557015319965,5,0.5727641582489014,0.009667734025776779,0.009406541376430013,0.011606525200263038,0.012270192038557901,0.54878,300,180,164,164,0
walk_forward_default,1,2025-12-18,-0.3022943457836436,300,0.513611376285553,0.03673792630434036,0.01254255124427176,0.034601783063980526,0.01760736589021496,0.01822468083466554,1.03295,-0.11811322758802319,-0.09299740582007751,5,0.5647429823875427,0.002362027233913779,0.002315337809130816,0.01744388183118978,0.01680319641260978,0.9784,300,180,162,162,0
walk_forward_default,1,2025-12-19,-0.28506227593629463,300,0.5121604204177856,0.03586947172880173,0.010579364103854507,0.03108332780394971,0.016586415326238578,0.01767057277368517,1.0229393333333334,-0.09151486147993973,-0.1499629391055532,5,0.5703153014183044,-0.01818814219425368,-0.018113089671466052,0.014686986916377398,0.01097898968898702,0.90084,300,180,158,158,0
walk_forward_default,1,2025-12-22,-0.17831013648585312,300,0.5108166337013245,0.0387391671538353,0.00919718229875747,0.030331154881364102,0.016459736621203813,0.01765937754480341,1.1374786666666667,-0.02706918781511863,-0.1634708142094632,5,0.5703473091125488,-0.00175278000072956,-0.0017104595439255657,0.01196845982624808,0.011115920689580039,0.8217800000000001,300,180,160,160,0
walk_forward_default,1,2025-12-23,0.059107454766209495,300,0.5124296545982361,0.0393352173268795,0.003144522464302042,0.032358813843205894,0.01640231034694084,0.01609344682639573,1.1380130000000002,-0.05962272911656777,-0.0812935721922639,5,0.5684123039245605,-0.00023586572911006012,-0.00021605762701973948,0.01061227195096302,0.01003342198938396,0.8326,300,180,164,164,0
walk_forward_default,2,2025-12-24,0.0998652757576693,300,0.5074048638343811,0.029822861775755882,0.00606538872851417,0.03845648214144239,0.016363377161002817,0.014393885538216982,1.0740859999999999,-0.09776651597990377,-0.04296585117611646,5,0.5598944425582886,0.00854960958046534,0.008916340511024514,0.0204053824838911,0.01864947461931936,1.04922,300,180,144,144,0
walk_forward_default,2,2025-12-25,0.11427796815096865,300,0.5087577104568481,0.03113468363881111,0.003871352416146328,0.044703109683730605,0.016386566135321363,0.012725525098743355,1.0173476666666665,-0.131630679215162,-0.04821482592182505,5,0.5677045583724976,0.01225350564329842,0.011747410090307298,0.0210192162180733,0.016988840051107422,1.59488,300,180,136,136,0
walk_forward_default,2,2025-12-26,0.0824317657570803,300,0.515908420085907,0.030356811359524727,0.0126830118435943,0.04242121361040814,0.016576735782078425,0.013278470352114127,1.2218666666666669,0.04161165876567396,0.019856417997802633,5,0.5726842284202576,0.029541529279078903,0.029662609154181098,0.02049249423285804,0.02248514185510492,0.79092,300,180,143,143,0
walk_forward_default,2,2025-12-29,0.13572003182298165,300,0.5218031406402588,0.03279365971684456,0.03917745650931038,0.05723904614402613,0.016344185616546596,0.01381918786061524,1.2509173333333334,0.16165963153508286,0.1635105863561209,5,0.5861358642578125,0.07929726018309101,0.0797912602618788,0.02105938175687356,0.020523060723483137,0.86668,300,180,136,136,0
walk_forward_default,2,2025-12-30,0.11476177058047138,300,0.5190221667289734,0.03341076523065567,0.026689577712601244,0.0458021263660803,0.016334457060677845,0.013902580079154988,1.1809243333333335,0.06503439256892521,0.07534027822597046,5,0.5873381495475769,0.08743085717058904,0.08764908724221354,0.0211357308647524,0.01959202371724526,1.51004,300,180,141,141,0
walk_forward_default,2,2025-12-31,0.015425949177213079,300,0.5205482244491577,0.03289838135242462,0.024189052117084178,0.04506768819642486,0.016237988360535513,0.01379137516081539,1.1240283333333332,-0.006686061116542093,-0.017284237031158767,5,0.5825759172439575,0.04494991566421294,0.045540138136446695,0.023120189159449057,0.019630593738581857,1.57876,300,180,141,141,0
walk_forward_default,2,2026-01-05,0.03537865462802285,300,0.5296182632446289,0.03612622618675232,0.023115493570726002,0.05200323921265843,0.017011532791346914,0.017385912919626326,1.5549230000000003,0.39160799731300344,0.18984935382052254,5,0.5898829698562622,0.0328409276094631,0.03300431222858905,0.02491309450404134,0.03591349780817022,2.48386,300,180,144,144,0
walk_forward_default,2,2026-01-06,-0.14856227671263486,300,0.530930757522583,0.0383169949054718,0.016985096506980723,0.06591074959086161,0.01756305244469245,0.01897887582677838,1.8109603333333333,0.5093701501843174,0.1807023783812529,5,0.5925486087799072,-0.028382024838152043,-0.028402693829859695,0.02257510673784858,0.02686898973706652,1.8397400000000002,300,180,141,141,0
walk_forward_default,2,2026-01-07,-0.11239527638174039,300,0.5326068997383118,0.038032907992601395,0.013646290137306491,0.05472992216133571,0.01766223918884031,0.018663148699987368,1.673163,0.28693228029399115,0.008610684912580248,5,0.5941685438156128,0.01979846642209402,0.019862341619107774,0.023552941573508603,0.022222171545731882,3.10466,300,180,140,140,0
walk_forward_default,2,2026-01-08,0.12158859719404076,300,0.532809317111969,0.03633873164653778,0.006700512973278615,0.056473702509086905,0.017594093301295535,0.019257467547799213,1.5588703333333334,0.173583561856679,-0.006849595030264683,5,0.5963137745857239,-0.00637315094682048,-0.005919421750642169,0.022507279947367537,0.02207610824968244,2.6580999999999997,300,180,141,141,0
walk_forward_default,2,2026-01-09,0.25169079656440624,300,0.5328866243362427,0.03345600888133049,0.0018753579772047054,0.04092226045993542,0.017784150042490243,0.01934484995785179,1.7037423333333335,0.17870055672241303,-0.06425588023188808,5,0.5934668779373169,0.024859733080451456,0.024630999358845367,0.0205553627390689,0.0198267438752394,2.0993,300,180,141,141,0
walk_forward_default,2,2026-01-12,0.23890309892332134,300,0.533333957195282,0.03867032378911972,-0.018657533685445,0.050324892334204445,0.018250626304336742,0.019351185813530285,2.0603670000000003,0.30428674335859474,0.05062218207509814,5,0.5944055318832397,-0.0027066619219110826,-0.002566635571199875,0.024252679583287178,0.027668442749699616,1.78924,300,180,143,143,0
walk_forward_default,2,2026-01-13,0.25441441065061,300,0.5366382598876953,0.039236076176166534,-0.004395125981814247,0.0469726536181675,0.018728163496568105,0.019725689935242697,2.1321353333333333,0.2853487142150416,0.2225758525387601,5,0.6081464886665344,-0.010782291992877762,-0.010674825852105089,0.0257565663529505,0.028024240036314957,4.284039999999999,300,180,136,136,0
walk_forward_default,2,2026-01-14,0.08516276188081237,300,0.5376690030097961,0.03985721990466118,0.000689475735503698,0.053804670600721416,0.01884733226581695,0.01982112302677923,2.3264946666666666,0.3621885931491866,0.19659840658059366,5,0.6000270247459412,0.03706865855966654,0.036513185468093984,0.02512286431524554,0.02424187216210982,1.8987200000000002,300,180,146,146,0
walk_forward_default,2,2026-01-15,0.048474760830675895,300,0.5257420539855957,0.040070805698633194,-0.0002406590533623106,0.05452198328962074,0.018810337115066224,0.020381100422781424,1.7129423333333333,-0.04150582189852655,-0.07552856837338107,5,0.6018845438957214,0.03925492411805792,0.038631815555905086,0.023090144926096977,0.016885880812000677,2.41704,300,180,140,140,0
walk_forward_default,2,2026-01-16,0.14118634001839012,300,0.5268639922142029,0.04323507100343704,0.011544894959834077,0.05244919895588756,0.01895212818851173,0.021295491007055866,2.005335,0.11734967461368648,0.07004627801244673,5,0.6060468554496765,0.03144823618910412,0.031050045784013797,0.02764062795950658,0.023985540018588637,2.3497999999999997,300,180,134,134,0
walk_forward_default,2,2026-01-19,0.28341838616804593,300,0.5152097344398499,0.043751683086156845,0.006515658793537827,0.04587085140467256,0.01909659716485107,0.019623641968975137,1.688964666666667,-0.08906878198873845,-0.1305784810123431,5,0.5917121171951294,0.0335230806914101,0.033287962913156645,0.027435963238424583,0.025001969689752563,2.22382,300,180,134,134,0
walk_forward_default,2,2026-01-20,0.3329191055888966,300,0.5190463662147522,0.047950051724910736,0.005324091186563893,0.04511086374578873,0.019622135188547024,0.019701530379651236,1.7147303333333335,-0.013672657341156068,0.00261817054701194,5,0.6041795015335083,0.04058907236385072,0.04029566308441111,0.027783550672576977,0.022606782339690202,2.0552400000000004,300,180,125,125,0
walk_forward_default,2,2026-01-21,0.1319230923082232,300,0.5141028761863708,0.04403851926326752,0.00010589562770044414,0.049270440759856066,0.019813902950445984,0.01938185002944623,1.6388333333333334,-0.051607979922884864,-0.06255886172598525,5,0.590408444404602,0.011098337215812378,0.011299601058946012,0.02219670748043798,0.0246731837487277,1.5371000000000001,300,180,131,131,0
walk_forward_default,2,2026-01-22,0.15233570954518585,300,0.5130868554115295,0.04551386460661888,-0.001039625964687462,0.057921724491271726,0.02000805258196868,0.019917930734574523,1.6741736666666667,-0.04141233039301675,-0.06173200569120881,5,0.5946347713470459,0.008855911232108559,0.00917017592368386,0.02602733905251024,0.0268564262261361,2.06284,300,180,131,131,0
walk_forward_default,3,2026-01-23,0.01887756405912793,300,0.5113329887390137,0.02594347670674324,-0.004986571900884084,0.05069082905339421,0.020519223861579637,0.020486671648808626,1.927482,0.06691712317824385,-0.04069281877585465,5,0.5690078139305115,0.0483080895071609,0.046947171067877734,0.0293250624801779,0.03559445063019866,3.18658,300,180,149,149,0
walk_forward_default,3,2026-01-26,0.03224237616106019,300,0.5130097270011902,0.02504127472639084,-0.0163249885148666,0.043279857688616155,0.021211020994582087,0.02139597665381875,2.043633,0.21429554483819624,0.17477457075459718,5,0.5730857253074646,-0.02858331102025846,-0.027837563086111936,0.02940608698836052,0.030937969655758117,3.16818,300,180,141,141,0
walk_forward_default,3,2026-01-27,-0.03201213702509348,300,0.5118841528892517,0.02489980310201645,-0.02331853741355501,0.042063535374833025,0.0213375180876231,0.0203415960491915,1.79697,0.00886249348698195,0.11678264697586827,5,0.5729474425315857,-0.027479406752465657,-0.027233630267810505,0.02704359083000174,0.02373480337440396,1.91706,300,180,139,139,0
walk_forward_default,3,2026-01-28,-0.004373604637118732,300,0.5128629207611084,0.023451512679457664,-0.016634856357788788,0.05173328275075907,0.021469067851608018,0.020360542825555137,2.0250863333333333,0.22495784726885698,0.07290865834750315,5,0.5613420009613037,-0.022896210731914602,-0.02257803025615883,0.02661379319028074,0.029765326625744538,1.91124,300,180,143,143,0
walk_forward_default,3,2026-01-29,-0.015456650533156384,300,0.5121008157730103,0.02614782005548477,-0.008743561024192097,0.05050982574437161,0.02225116354063307,0.022782492416821298,2.1754643333333332,0.25381354716260013,0.2329827575028872,5,0.5753087997436523,0.005509654570687803,0.005609556811777678,0.0260446813998417,0.03251983227527068,2.45348,300,180,140,140,0
walk_forward_default,3,2026-01-30,-0.11893776597517748,300,0.5149844288825989,0.02323865331709385,-0.0018835285268029552,0.04934909733393743,0.02297769823831657,0.023229080374427998,1.7999009999999998,-0.0042963192218201385,0.021365985912016234,5,0.5647772550582886,-0.054181689805365196,-0.053902873642623375,0.027921505005970744,0.0271862076086892,3.16486,300,180,139,139,0
walk_forward_default,3,2026-02-02,0.017054419295513545,300,0.5122230052947998,0.023282041773200035,0.019169241878774987,0.04384790560995023,0.02356021778237748,0.024744933760006395,1.6871896666666666,-0.04431666671030463,0.029718559732735253,5,0.568921685218811,0.0321529981310073,0.03244043348899394,0.03139737032734894,0.043923971927681736,1.63598,300,180,140,140,0
