experiment,feature_count,rank_ic_mean,fold_1_rank_ic,fold_2_rank_ic,fold_3_rank_ic,top5_mean_return_mean
lstm_sl20_current,20,0.02798208721102495,-0.033492236853097226,0.11894604612263202,-0.0015075476364599355,0.007502490371932375
drop_ret_1d,19,0.008016386103222521,-0.040156934363955114,0.032148181451864564,0.03205791122175811,0.006855442000644416
drop_ret_3d,19,-0.0024309223841175545,-0.040791283382391984,0.003126018592062077,0.030372497637977246,0.010473161467320276
drop_intraday_return,19,0.0019548084541037764,-0.037243914656121285,0.02577108756679321,0.017337252451639404,0.010079379719485745
drop_ret_1d_intraday_return,18,0.03215401651710715,-0.047401967764896254,0.1086066788501889,0.03525733846602881,0.010931727935537821
