experiment,model_family,sequence_length,rank_ic_mean,fold_1_rank_ic,fold_2_rank_ic,fold_3_rank_ic,top5_mean_return_mean
lstm_sl10,lstm,10,0.0116800233874576,-0.060918351276148,0.0360478386006012,0.0599105828379198,0.0101187039633257
lstm_sl20_current,lstm,20,0.02798208721102495,-0.033492236853097226,0.11894604612263202,-0.0015075476364599355,0.007502490371932375
lstm_sl30,lstm,30,-0.01757713746748803,-0.0336650953998058,0.0038745626718840256,-0.022940879674542322,0.0031051250133771664
lightgbm_same_protocol,lightgbm,,-0.02741681549842336,-0.06571356496486407,-0.010100929983691921,-0.006435951546714089,0.002183228707590447
