rank,stable_alpha_score,composite_score,decision,risk_flags,aggressive_rank,robust_rank,candidate_id,candidate_label,source_kind,experiment_dir,source_file,rank_ic_mean,worst_fold,top5_mean_return,top5_return_min_by_fold,cumulative_return_after_cost,sharpe_after_cost,max_drawdown_after_cost,avg_turnover,slice_score,single_slice_score,result_valid,result_validator_status,score_rank_ic,score_worst_fold,score_top5,score_return,score_sharpe,drawdown_penalty,turnover_penalty,slice_score_component,available_metric_count
230,0.2230226696175635,0.2230226696175635,adopt,通过硬性规则,219.0,221.0,d1c260af71,alpha_0.00_cap_none,summary_table,app\model\weight_blend_search\alpha_0.00_cap_none,app\model\weight_blend_search\alpha_0.00_cap_none\backtest_summary.csv,,,,,1.1650099114725272,4.002179394495261,-0.0908523234707533,0.9562906075371832,,,,unknown,0.0,0.0,0.0,0.6555373547390428,0.7836628538449485,0.3807141158249713,0.9156333261597249,0.0,4
231,0.2230226696175634,0.2230226696175634,adopt,通过硬性规则,220.0,222.0,c393990a0c,alpha_0.50_cap_0.20,summary_table,app\model\weight_blend_search\alpha_0.50_cap_0.20,app\model\weight_blend_search\alpha_0.50_cap_0.20\backtest_summary.csv,,,,,1.1650099114725272,4.00217939449526,-0.0908523234707533,0.9562906075371832,,,,unknown,0.0,0.0,0.0,0.6555373547390428,0.7836628538449483,0.3807141158249713,0.9156333261597249,0.0,4
232,0.2230226696175634,0.2230226696175634,adopt,通过硬性规则,221.0,223.0,591029c594,alpha_1.00_cap_0.20,summary_table,app\model\weight_blend_search\alpha_1.00_cap_0.20,app\model\weight_blend_search\alpha_1.00_cap_0.20\backtest_summary.csv,,,,,1.1650099114725272,4.00217939449526,-0.0908523234707533,0.9562906075371832,,,,unknown,0.0,0.0,0.0,0.6555373547390428,0.7836628538449483,0.3807141158249713,0.9156333261597249,0.0,4
233,0.2230226696175634,0.2230226696175634,adopt,通过硬性规则,222.0,224.0,72fec37832,max_single_weight_0.20,summary_table,app\model\weight_cap_search,app\model\weight_cap_search\weight_cap_search_summary.csv,,,,,1.1650099114725272,4.00217939449526,-0.0908523234707533,0.9562906075371832,,,,unknown,0.0,0.0,0.0,0.6555373547390428,0.7836628538449483,0.3807141158249713,0.9156333261597249,0.0,4
234,0.2230226696175634,0.2230226696175634,adopt,通过硬性规则,223.0,225.0,8bd50e6f4e,weight_cap_0.20,summary_table,app\model\weight_cap_search\cap_0.20,app\model\weight_cap_search\cap_0.20\backtest_summary.csv,,,,,1.1650099114725272,4.00217939449526,-0.0908523234707533,0.9562906075371832,,,,unknown,0.0,0.0,0.0,0.6555373547390428,0.7836628538449483,0.3807141158249713,0.9156333261597249,0.0,4
235,0.21571796879198218,0.21571796879198218,adopt,通过硬性规则,224.0,227.0,2dfe550d25,alpha_0.00_cap_0.18,summary_table,app\model\weight_blend_search\alpha_0.00_cap_0.18,app\model\weight_blend_search\alpha_0.00_cap_0.18\backtest_summary.csv,,,,,1.085936213182149,3.977454961512014,-0.0870642452106926,0.9311367941484036,,,,unknown,0.0,0.0,0.0,0.6063180729527934,0.777625878305064,0.3562589827418852,0.8651574464499011,0.0,4
236,0.21571796879198218,0.21571796879198218,adopt,通过硬性规则,225.0,228.0,1a7e71d94f,alpha_0.50_cap_0.18,summary_table,app\model\weight_blend_search\alpha_0.50_cap_0.18,app\model\weight_blend_search\alpha_0.50_cap_0.18\backtest_summary.csv,,,,,1.085936213182149,3.977454961512014,-0.0870642452106926,0.9311367941484036,,,,unknown,0.0,0.0,0.0,0.6063180729527934,0.777625878305064,0.3562589827418852,0.8651574464499011,0.0,4
237,0.21571796879198218,0.21571796879198218,adopt,通过硬性规则,226.0,229.0,15ab2e3ac9,alpha_1.00_cap_0.18,summary_table,app\model\weight_blend_search\alpha_1.00_cap_0.18,app\model\weight_blend_search\alpha_1.00_cap_0.18\backtest_summary.csv,,,,,1.085936213182149,3.977454961512014,-0.0870642452106926,0.9311367941484036,,,,unknown,0.0,0.0,0.0,0.6063180729527934,0.777625878305064,0.3562589827418852,0.8651574464499011,0.0,4
238,0.21571796879198218,0.21571796879198218,adopt,通过硬性规则,227.0,230.0,88873c2a79,baseline_lstm_single,summary_table,app\model\rank_blend\baseline_lstm_single,app\model\rank_blend\baseline_lstm_single\backtest_summary.csv,,,,,1.085936213182149,3.977454961512014,-0.0870642452106926,0.9311367941484036,,,,unknown,0.0,0.0,0.0,0.6063180729527934,0.777625878305064,0.3562589827418852,0.8651574464499011,0.0,4
239,0.21571796879198218,0.21571796879198218,adopt,通过硬性规则,228.0,231.0,d869a24f8a,lstm_sl20_same_protocol,summary_table,app\model\sequence_length_search\sl20\backtest,app\model\sequence_length_search\sl20\backtest\backtest_summary.csv,,,,,1.085936213182149,3.977454961512014,-0.0870642452106926,0.9311367941484036,,,,unknown,0.0,0.0,0.0,0.6063180729527934,0.777625878305064,0.3562589827418852,0.8651574464499011,0.0,4
240,0.21571796879198218,0.21571796879198218,adopt,通过硬性规则,229.0,232.0,7490003baa,max_single_weight_0.18,summary_table,app\model\weight_cap_search,app\model\weight_cap_search\weight_cap_search_summary.csv,,,,,1.085936213182149,3.977454961512014,-0.0870642452106926,0.9311367941484036,,,,unknown,0.0,0.0,0.0,0.6063180729527934,0.777625878305064,0.3562589827418852,0.8651574464499011,0.0,4
241,0.21571796879198218,0.21571796879198218,adopt,通过硬性规则,230.0,233.0,d138753d6d,weight_cap_0.18,summary_table,app\model\weight_cap_search\cap_0.18,app\model\weight_cap_search\cap_0.18\backtest_summary.csv,,,,,1.085936213182149,3.977454961512014,-0.0870642452106926,0.9311367941484036,,,,unknown,0.0,0.0,0.0,0.6063180729527934,0.777625878305064,0.3562589827418852,0.8651574464499011,0.0,4
242,0.20745201911553995,0.20745201911553995,adopt,通过硬性规则,231.0,234.0,52e93ebbe7,max_single_weight_0.16,summary_table,app\model\weight_cap_search,app\model\weight_cap_search\weight_cap_search_summary.csv,,,,,0.9997997232836038,3.9306832890831087,-0.0824119452178063,0.8988499414524966,,,,unknown,0.0,0.0,0.0,0.5527025691878605,0.7662056187341325,0.3262245938888281,0.8003677754883456,0.0,4
243,0.20745201911553995,0.20745201911553995,adopt,通过硬性规则,232.0,235.0,9c9d0ef822,weight_cap_0.16,summary_table,app\model\weight_cap_search\cap_0.16,app\model\weight_cap_search\cap_0.16\backtest_summary.csv,,,,,0.9997997232836038,3.9306832890831087,-0.0824119452178063,0.8988499414524966,,,,unknown,0.0,0.0,0.0,0.5527025691878605,0.7662056187341325,0.3262245938888281,0.8003677754883456,0.0,4
244,0.1958989835952924,0.1958989835952924,adopt,通过硬性规则,233.0,226.0,6228151ac4,weight_cap_0.14,summary_table,app\model\weight_cap_search\cap_0.14,app\model\weight_cap_search\cap_0.14\backtest_summary.csv,,,,,0.8592601116172436,3.891289980166005,-0.0779891710880157,0.8346766078280192,,,,unknown,0.0,0.0,0.0,0.4652239397789416,0.7565869373864629,0.29767198158384195,0.6715918551719282,0.0,4
245,0.19499476614058336,0.19499476614058336,adopt,通过硬性规则,237.0,210.0,718a3988fa,lstm_sl20_baseline,training_dir,app\model\transformer_lite\lstm_sl20_baseline,app\model\transformer_lite\lstm_sl20_baseline\fold_diagnostics.csv,0.027982087211024968,-0.0334922368530972,0.0075024903719323665,0.0032441391745382,,,,,,,,unknown,0.6188770278500363,0.405505333286508,0.24645071453770853,0.0,0.0,0.0,0.0,0.0,4
246,0.19180491681063308,0.19180491681063308,reject,max_drawdown 明显恶化,,,fff9e2f32a,risk_adjusted_return__topk_weighted_rank,training_dir,app\model\label_variant_search\experiments\risk_adjusted_return__topk_weighted_rank,app\model\label_variant_search\experiments\risk_adjusted_return__topk_weighted_rank\metrics.csv;app\model\label_variant_search\experiments\risk_adjusted_return__topk_weighted_rank\walk_forward_metrics.csv;app\model\label_variant_search\experiments\risk_adjusted_return__topk_weighted_rank\fold_results.csv;app\model\label_variant_search\experiments\risk_adjusted_return__topk_weighted_rank\fold_diagnostics.csv,-0.0068879050939801,-0.0068879050939801,0.003788538544597,0.003788538544597,0.5661757926001656,2.413196538462103,-0.1351196401952107,0.9438469735868537,,0.0077194183747352,,unknown,0.2536964972127862,0.6526452443691644,0.12259590157995433,0.28279413066771253,0.39568021975713746,0.6664957305137826,0.890662823249415,0.1564484249055484,9
247,0.18830702958354378,0.18830702958354378,reject,max_drawdown 明显恶化,,,869fd90380,base_alpha_v4_medium,summary_table,app\model\sequence_length_search,app\model\sequence_length_search\sl20_sl40_sl60_summary.csv,0.0353696981333819,0.0096683202969909,0.0062517320001029,0.0019055880637461,0.3209727665397333,,-0.1303096050409572,0.9207969309784876,,0.0259579249115661,,unknown,0.6962447442857127,0.8064436599067691,0.2047397685157112,0.1301679465452729,0.0,0.6354430326136852,0.8444085571457637,0.8439209272474208,8
248,0.167674228076709,0.167674228076709,adopt,通过硬性规则,234.0,236.0,0041bb60ed,clipped_return__cross_section_rank,training_dir,app\model\label_variant_search\experiments\clipped_return__cross_section_rank,app\model\label_variant_search\experiments\clipped_return__cross_section_rank\metrics.csv;app\model\label_variant_search\experiments\clipped_return__cross_section_rank\walk_forward_metrics.csv;app\model\label_variant_search\experiments\clipped_return__cross_section_rank\fold_results.csv;app\model\label_variant_search\experiments\clipped_return__cross_section_rank\fold_diagnostics.csv,-0.0307435990011676,-0.0307435990011676,0.0061956803259895,0.0061956803259895,0.5163375435801012,2.405919346660047,-0.0872700435733285,0.8785613087027431,,0.024595955824991,,unknown,0.0038646393922692986,0.43103869832175323,0.2028705278965444,0.25177240188447303,0.393903344674185,0.3575875789326253,0.7596548000708621,0.7925835935589821,9
249,0.16705505162074497,0.16705505162074497,adopt,通过硬性规则,235.0,237.0,2bcb8e7ad1,residual_return__cross_section_rank,training_dir,app\model\label_variant_search\experiments\residual_return__cross_section_rank,app\model\label_variant_search\experiments\residual_return__cross_section_rank\metrics.csv;app\model\label_variant_search\experiments\residual_return__cross_section_rank\walk_forward_metrics.csv;app\model\label_variant_search\experiments\residual_return__cross_section_rank\fold_results.csv;app\model\label_variant_search\experiments\residual_return__cross_section_rank\fold_diagnostics.csv,-0.0311107146258824,-0.0311107146258824,0.0066033840465585,0.0066033840465585,0.5179709965138761,2.355407133649836,-0.0872700435733287,0.886904957834151,,0.024595955824991,,unknown,1.9973254521604425e-05,0.4276283919223836,0.21646684535052793,0.2527891417356534,0.38156975568491697,0.3575875789326266,0.7763979086957271,0.7925835935589821,9
250,0.16705028395941565,0.16705028395941565,adopt,通过硬性规则,236.0,238.0,922d367e93,original_return__cross_section_rank,training_dir,app\model\label_variant_search\experiments\original_return__cross_section_rank,app\model\label_variant_search\experiments\original_return__cross_section_rank\metrics.csv;app\model\label_variant_search\experiments\original_return__cross_section_rank\walk_forward_metrics.csv;app\model\label_variant_search\experiments\original_return__cross_section_rank\fold_results.csv;app\model\label_variant_search\experiments\original_return__cross_section_rank\fold_diagnostics.csv,-0.0311126218119809,-0.0311126218119809,0.0066033840465585,0.0066033840465585,0.5179709965138761,2.355407133649836,-0.0872700435733287,0.886904957834151,,0.024595955824991,,unknown,0.0,0.4276106751908728,0.21646684535052793,0.2527891417356534,0.38156975568491697,0.3575875789326266,0.7763979086957271,0.7925835935589821,9
251,0.16503248035879575,0.16503248035879575,reject,top5_return_min_by_fold <= 0，缺少合理解释,,,c3aee3fd8b,topk5_gamma1_0,training_dir,app\model\topk_objective_search\models\topk5_gamma1_0,app\model\topk_objective_search\models\topk5_gamma1_0\walk_forward_metrics.csv;app\model\topk_objective_search\models\topk5_gamma1_0\fold_diagnostics.csv,0.024724761956541868,-0.0241785446669088,0.003484646656010266,-0.001850332494845,,,,,,,,unknown,0.5847642653783475,0.4920245166881745,0.11246155553290478,0.0,0.0,0.0,0.0,0.0,4
252,0.1638514089464714,0.1638514089464714,adopt,通过硬性规则,238.0,213.0,20ef6dc755,sl20,training_dir,app\model\transformer_lite\sl20,app\model\transformer_lite\sl20\walk_forward_metrics.csv;app\model\transformer_lite\sl20\fold_diagnostics.csv,0.002116785606917533,-0.053363509814428,0.010854680119670466,0.0014583045671605,,,,,,,,unknown,0.34799929199447927,0.2209119115374528,0.358241295974217,0.0,0.0,0.0,0.0,0.0,4
253,0.09478558673014006,0.09478558673014006,adopt,通过硬性规则,239.0,239.0,fba5500495,A_lstm70_lightgbm30,summary_table,app\model\rank_blend\A_lstm70_lightgbm30,app\model\rank_blend\A_lstm70_lightgbm30\backtest_summary.csv,,,,,0.5852500654598312,2.798090955621185,-0.0718877192833356,0.9900180767878204,,,,unknown,0.0,0.0,0.0,0.2946668776246097,0.48966005676297936,0.2582821364856847,0.9833138664618705,0.0,4
254,0.07766946007424234,0.07766946007424234,reject,max_drawdown 明显恶化,,,6ab4771817,sequence_length_search,summary_table,app\model\sequence_length_search\v4_medium_lstm_sl40,app\model\sequence_length_search\v4_medium_lstm_sl40\backtest_summary.csv,,,,,0.7009736707367362,2.6056248566779967,-0.1564721978896739,0.9383959521463424,,,,unknown,0.0,0.0,0.0,0.3666988283312555,0.44266552579176216,0.8043438963206858,0.8797243186865383,0.0,4
255,0.07641401217094396,0.07641401217094396,adopt,通过硬性规则,240.0,241.0,13e7451356,lstm_sl60_same_protocol,summary_table,app\model\sequence_length_search\sl60\backtest,app\model\sequence_length_search\sl60\backtest\backtest_summary.csv,,,,,0.5963881093174335,2.481362912913372,-0.0992726777047808,0.9446837904867637,,,,unknown,0.0,0.0,0.0,0.30159973306235316,0.4123244330130591,0.4350743663960804,0.8923420544866892,0.0,4
256,0.061389787488342056,0.061389787488342056,adopt,通过硬性规则,241.0,240.0,5492bcecf9,B_lstm60_lightgbm20_momentum20,summary_table,app\model\rank_blend\B_lstm60_lightgbm20_momentum20,app\model\rank_blend\B_lstm60_lightgbm20_momentum20\backtest_summary.csv,,,,,0.42680281969993,2.394462735149645,-0.053258208779666,0.9897527307698136,,,,unknown,0.0,0.0,0.0,0.19604167346793677,0.39110597886583187,0.1380134600321284,0.9827813995361054,0.0,4
257,0.057836942396810115,0.057836942396810115,reject,max_drawdown 明显恶化,,,4550f8ae82,label_variant_search,summary_table,app\model\label_variant_search\experiments\risk_adjusted_return__topk_weighted_rank,app\model\label_variant_search\experiments\risk_adjusted_return__topk_weighted_rank\backtest_summary.csv,,,,,0.5661757926001656,2.413196538462103,-0.1351196401952107,0.9438469735868537,,,,unknown,0.0,0.0,0.0,0.28279413066771253,0.39568021975713746,0.6664957305137826,0.890662823249415,0.0,4
258,0.017763326248753417,0.017763326248753417,adopt,通过硬性规则,242.0,242.0,9f8140c93f,D_lstm50_lightgbm25_xgboost25,summary_table,app\model\rank_blend\D_lstm50_lightgbm25_xgboost25,app\model\rank_blend\D_lstm50_lightgbm25_xgboost25\backtest_summary.csv,,,,,0.3143394640768226,1.9653602903014364,-0.0776906493761637,0.9975720423838066,,,,unknown,0.0,0.0,0.0,0.12603905931533096,0.2863318485386174,0.2957447805889463,0.9984723258517788,0.0,4
259,0.011963145263599151,0.011963145263599151,adopt,通过硬性规则,243.0,243.0,ab41301f18,E_lstm60_momentum40,summary_table,app\model\rank_blend\E_lstm60_momentum40,app\model\rank_blend\E_lstm60_momentum40\backtest_summary.csv,,,,,0.3590842670544969,1.7921153185612413,-0.0954247991051162,0.9695235085058496,,,,unknown,0.0,0.0,0.0,0.15389038173787595,0.24403054854471318,0.4102331733736191,0.9421876424847544,0.0,4
260,0.007374020493904718,0.007374020493904718,reject,top5_return_min_by_fold <= 0，缺少合理解释; worst_fold_rank_ic 明显低于当前 sl20,,,50a35236f7,sl40,training_dir,app\model\sequence_length_search\sl40,app\model\sequence_length_search\sl40\walk_forward_metrics.csv;app\model\sequence_length_search\sl40\fold_diagnostics.csv,-0.02507500288927947,-0.0598592162735639,0.00011233685470383352,-0.0067969106807708,0.2441593176271344,1.3761081455514312,-0.0951011026021327,0.9257978185010024,,,,unknown,0.0632297495993752,0.1605702975752926,0.0,0.08235555293343991,0.14245389642984496,0.408143448580324,0.854443782943432,0.0,8
261,-0.01816747170353082,-0.01816747170353082,adopt,通过硬性规则,244.0,244.0,9502bafe46,lstm_sl40_same_protocol,summary_table,app\model\sequence_length_search\sl40\backtest,app\model\sequence_length_search\sl40\backtest\backtest_summary.csv,,,,,0.2441593176271344,1.3761081455514312,-0.0951011026021327,0.9257978185010024,,,,unknown,0.0,0.0,0.0,0.08235555293343991,0.14245389642984496,0.408143448580324,0.854443782943432,0.0,4
262,-0.02126795227265208,-0.02126795227265208,adopt,通过硬性规则,245.0,245.0,bce698cd10,transformer_lite_sl20,summary_table,app\model\transformer_lite\sl20\backtest_same_protocol,app\model\transformer_lite\sl20\backtest_same_protocol\backtest_summary.csv,,,,,0.2875298208004277,1.4296554777570791,-0.1072806403039665,0.9973898983576124,,,,unknown,0.0,0.0,0.0,0.10935144490574572,0.15552857179128185,0.4867722927964511,0.9981068194447008,0.0,4
263,-0.0630540649396444,-0.0630540649396444,adopt,通过硬性规则,246.0,246.0,0599cb04bf,C_lstm50_lightgbm30_reversal20,summary_table,app\model\rank_blend\C_lstm50_lightgbm30_reversal20,app\model\rank_blend\C_lstm50_lightgbm30_reversal20\backtest_summary.csv,,,,,0.1135350373585699,0.8888866308177411,-0.0875246613427376,0.9983333333343384,,,,unknown,0.0,0.0,0.0,0.001048703782983159,0.02348880756630239,0.3592313441900301,1.0,0.0,4
264,-0.07708553225516288,-0.07708553225516288,reject,max_drawdown 明显恶化,,,78fc8cf696,transformer_lite_sl60,summary_table,app\model\transformer_lite\sl60\backtest_same_protocol,app\model\transformer_lite\sl60\backtest_same_protocol\backtest_summary.csv,,,,,0.1118502324706864,0.7926882207541888,-0.1213624035450009,0.9804078306506224,,,,unknown,0.0,0.0,0.0,0.0,0.0,0.5776815534986015,0.9640290916046559,0.0,4
265,-0.09727495564308325,-0.09727495564308325,reject,max_drawdown 明显恶化,,,59e1d6e241,transformer_lite_sl40,summary_table,app\model\transformer_lite\sl40\backtest_same_protocol,app\model\transformer_lite\sl40\backtest_same_protocol\backtest_summary.csv,,,,,0.1301014661145236,0.7935861059968574,-0.1867791535000852,0.9942558960824804,,,,unknown,0.0,0.0,0.0,0.01136044767204229,0.00021923702967370894,1.0,0.991817851668529,0.0,4
