stock_id,direction_tag,rows_in_fold1,improved_days,worsened_days,net_rank_error_improvement,mean_rank_error_improvement,mean_abs_rank_shift,mean_y_pred_delta,max_improvement,max_worsening
300502,improved_focus,20,17,3,6.146666666666667,0.30733333333333335,0.3296666666666666,0.07643979599999996,0.9766666666666668,-0.09
000807,improved_focus,20,19,1,5.119999999999999,0.25599999999999995,0.288,0.0075699745,0.5700000000000001,-0.01
601689,improved_focus,20,17,3,3.7433333333333327,0.18716666666666665,0.2475,-0.010520213999999981,0.6466666666666667,-0.1566666666666667
600015,improved_focus,20,18,2,3.296666666666667,0.16483333333333333,0.2318333333333334,-0.05794485349999997,0.3466666666666668,-0.0166666666666666
300308,improved_focus,20,16,4,3.2333333333333325,0.16166666666666663,0.294,0.057851395999999985,0.6933333333333331,-0.5966666666666667
601668,improved_focus,20,17,3,2.9999999999999996,0.14999999999999997,0.2033333333333333,-0.05187329899999994,0.4433333333333334,-0.04
601800,improved_focus,20,16,4,2.24,0.11200000000000002,0.21199999999999997,-0.05411236149999995,0.3,-0.2866666666666667
002600,improved_focus,20,16,4,1.8133333333333326,0.09066666666666663,0.23566666666666664,0.007205349499999984,0.47,-0.6333333333333334
600905,improved_focus,20,17,3,1.7633333333333328,0.08816666666666664,0.13316666666666663,-0.05354747749999994,0.3,-0.2633333333333333
000001,improved_focus,20,16,4,0.8933333333333322,0.04466666666666661,0.179,-0.05959648849999997,0.2899999999999999,-0.3299999999999999
601377,worsened_focus,20,3,17,-1.1133333333333326,-0.05566666666666663,0.10299999999999994,-0.02542913799999997,0.1899999999999999,-0.2933333333333333
600760,worsened_focus,20,3,17,-1.903333333333333,-0.09516666666666665,0.19116666666666662,-0.03853695549999994,0.2466666666666667,-0.3366666666666666
002236,worsened_focus,20,4,16,-1.9999999999999991,-0.09999999999999995,0.1406666666666666,-0.04448363199999996,0.1666666666666667,-0.3566666666666666
002422,worsened_focus,20,4,16,-2.3499999999999996,-0.11749999999999998,0.20316666666666666,-0.02176591049999994,0.1866666666666667,-0.62
688126,worsened_focus,20,4,16,-2.61,-0.1305,0.2368333333333333,-0.01591722349999997,0.2233333333333333,-0.62
600930,worsened_focus,20,3,16,-2.8533333333333335,-0.14266666666666666,0.19133333333333333,-0.03363501949999997,0.3466666666666667,-0.4900000000000001
300999,worsened_focus,20,3,17,-2.9933333333333327,-0.14966666666666664,0.22766666666666668,-0.05390780149999994,0.0766666666666667,-0.4366666666666666
600958,worsened_focus,20,4,16,-3.206666666666666,-0.1603333333333333,0.26566666666666666,-0.03031380299999999,0.2133333333333333,-0.6433333333333333
000002,worsened_focus,20,3,17,-3.2533333333333334,-0.16266666666666668,0.20666666666666664,-0.03296183499999995,0.24,-0.4433333333333334
603019,worsened_focus,20,4,16,-3.3033333333333332,-0.16516666666666666,0.24116666666666667,-0.02875778699999996,0.2833333333333333,-0.6133333333333334
