experiment,feature_count,rank_ic_mean,fold_1_rank_ic,fold_2_rank_ic,fold_3_rank_ic,top5_mean_return_mean
lstm_sl20_current,20,0.02798208721102495,-0.033492236853097226,0.11894604612263202,-0.0015075476364599355,0.007502490371932375
drop_ret_1d_ret_3d,18,0.024573732167335067,-0.0852658926538532,0.1047285309112302,0.0542585582446282,0.010163336625447595
drop_ret_3d_intraday_return,18,0.026935965420245348,-0.04905712572947846,0.0979674573898725,0.031897564600342,0.009364632926893787
drop_short_term_noise,17,0.007494594533293257,-0.011686160712993299,0.04998553068738334,-0.01581558637451027,0.013152447146730348
