模型名,模型族,特征集,sequence_length,MAE,RMSE,RankIC,NDCG@5,NDCG@10,NDCG@20,HitRate@5,HitRate@10,HitRate@20,Top5平均收益,回测累计收益,Sharpe,最大回撤,是否正式候选,说明,特征数,目标
LSTM sl20,lstm,base_alpha_v3_rs_crowding_mini4,20,0.5134838499050866,0.5166341972278576,0.02798208721102495,0.1144439433675708,0.12662047485394884,0.15355203481860685,0.023333333333333334,0.03666666666666667,0.0858333333333333,0.007502490371932375,1.1712462279797915,4.019487965088474,-0.0900673064031069,是,当前正式默认主线,20,cross_section_rank
Momentum (mom_5d),momentum_rule,base_alpha_v3_rs_crowding_mini4,,0.046194105414895735,0.06778553236359877,-0.00889594713357701,0.17699307577066617,0.2038493422424386,0.24271060532730368,0.07333333333333333,0.10833333333333335,0.16500000000000004,0.001318374334743953,0.34650234184961537,1.199517702925079,-0.2570338119370499,否,简单动量规则基线，直接以短期动量特征排序,1,rule_based
LightGBM,lightgbm,base_alpha_v3_rs_crowding_mini4,,0.49747023811721885,0.5003076271344841,-0.02741681549842336,0.11069252110776855,0.11625439388569586,0.12800465494931726,0.020000000000000004,0.035,0.06166666666666667,0.002183228707590447,0.2958393501197505,1.7116818706529258,-0.1131656514396776,否,同特征集机器学习基线,20,cross_section_rank
XGBoost,xgboost,base_alpha_v3_rs_crowding_mini4,,0.49754744228481346,0.5003792551903388,-0.030145156268928563,0.10663847660321543,0.1193084660395119,0.12137704937514944,0.013333333333333334,0.035,0.0525,0.00034058754732758934,0.137837214860989,1.0457899575174578,-0.09714635900965574,否,同特征集树模型对照,20,cross_section_rank
Linear Regression,linear_regression,base_alpha_v3_rs_crowding_mini4,,0.4984654825074745,0.5008411538290463,-0.028608321593443856,0.10265845586467721,0.10923772695719396,0.11700726979445643,0.030000000000000006,0.02666666666666667,0.04666666666666666,0.0010383442680723769,-0.041793757299336876,-0.138543915508163,-0.18628459275044884,否,同特征集线性基线,20,cross_section_rank
